node,java,backend,benchmark,score_ns_op,score_error_ns_op,confidence_low_ns_op,confidence_high_ns_op,jdk_version,vm_name,vm_version,warmup_iterations,measurement_iterations,measurement_time,threads,forks,raw_samples,overhead_ns_op,overhead_error_ns_op,score_multiplier,overhead_multiplier
1.12.2-paper,8,jvmti,siteInvoke,218.14827656056477,1.9425408977792902,216.2057356627855,220.09081745834405,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[218.53034892720893,218.47296879449226,218.13484239099168,219.2180269511584,217.76542179755006,218.4502318420908,216.4660952204613]]",217.77580849076827,1.9425439527870572,585.6831611895124,584.6831611895124
1.12.2-paper,8,jvmti,spliceProceed,129.81937154356737,4.242381281102387,125.57699026246499,134.06175282466975,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[129.20720970701734,128.33920638488806,128.89685334047644,129.36647946383854,133.95317518008773,129.0639984385726,129.908678290091]]",129.44690347377087,4.242382679958554,348.5382562175009,347.5382562175008
1.16.5-paper,16,instrumentation,baseline,0.35340971431362256,0.012344688617515554,0.341065025696107,0.3657544029311381,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[0.36176191922567363,0.3562048804193693,0.34645323448065424,0.3494796372796038,0.3490370640608543,0.35783964559233156,0.3530916191368709]]",0.0,0.01745802606616327,1.0,0.0
1.16.5-paper,16,instrumentation,lead,81.60385283528332,1.6862106818291442,79.91764215345418,83.29006351711246,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[83.17596352633069,81.90673767811137,81.05334240411771,81.45875475223981,81.15294575435439,81.2994339027024,81.17979182912688]]",81.25044312096969,1.6862558687375326,230.90438527919608,229.90438527919605
1.16.5-paper,16,instrumentation,leadTrail,209.80038921384534,2.422861552517904,207.37752766132743,212.22325076636324,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[209.66767890714908,209.70250596688703,207.9437716198346,210.90621387939694,209.1418437764977,210.13652237356936,211.10418797358267]]",209.44697949953172,2.4228930009405145,593.6463563864135,592.6463563864135
1.16.5-paper,16,instrumentation,predicateTrue,120.48339150705797,1.208127059430098,119.27526444762788,121.69151856648807,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[120.20026733691415,120.44546545589515,119.66365418975423,120.11981063120052,120.78103436036207,121.1963205999588,120.9771879753209]]",120.12998179274435,1.208190127034764,340.91703376364666,339.9170337636466
1.16.5-paper,16,instrumentation,siteInvoke,167.1574272748773,1.5991974776672446,165.55822979721006,168.75662475254455,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[166.92376378985077,167.8407700355723,167.8137094771221,166.09425585820114,166.71573727227704,167.93472247833301,166.77903201278482]]",166.8040175605637,1.599245123148525,472.98481197531146,471.9848119753115
1.16.5-paper,16,instrumentation,spliceProceed,121.26322334060957,1.5569356007215178,119.70628773988805,122.82015894133109,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[121.88399625369152,121.16013091652692,121.14133530812302,121.1967661606752,120.98352429337218,122.32756995331398,120.1492404985642]]",120.90981362629594,1.5569845394643895,343.1236279855009,342.1236279855009
1.16.5-paper,16,jvmti,baseline,0.3534508690830505,0.00539413214254945,0.34805673694050104,0.3588450012256,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[0.35727234305283295,0.3542965182809128,0.35164797245375573,0.3540197628899634,0.3495935278612657,0.35313618149275977,0.35418977754986364]]",0.0,0.007628454833226073,1.0,0.0
1.16.5-paper,16,jvmti,lead,78.44073063329795,1.4508456455748213,76.98988498772313,79.89157627887276,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[79.55546448930659,78.69418956981235,78.41426272806169,78.05207455417874,78.64895411563593,78.25603756813207,77.46413140795833]]",78.0872797642149,1.4508556730236786,221.92824376636824,220.92824376636827
